FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,inferred_ancestry,data_source,assignment_confidence,distance_to_centroid,sample_type,known_ancestry,donor_id,dataset,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,ethnicity_ancestry_concordance,KNN_prediction,RandomForest_prediction,ml_consensus_prediction,KNN_confidence,RandomForest_confidence,ml_consensus_confidence,projection_status,final_consensus_ancestry,final_consensus_confidence,final_consensus_method
NA12287,NA12287,-0.0128198,-0.00830996,0.0086959,0.00368777,0.00192105,-0.00150631,-0.0021624,0.00113059,0.00277174,0.00789424,0.000120302,0.00968629,0.0153564,-0.0309815,-0.0101667,0.0260029,-0.00960929,0.000261737,0.00124988,0.00403884,EUR,MAGE,0.6685352399451439,0.0017779345746182,MAGE,white,NA12287,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.6685352399451439,Stage1_PCA
NA12348,NA12348,-0.0126748,-0.00733079,0.00879954,0.00207828,-0.000420266,-0.00139869,0.00191847,-0.00139811,-0.000799539,0.00713452,0.00112181,0.0168363,0.0158749,-0.0312749,-0.0110304,0.0262618,-0.00851853,-0.00259132,0.00163918,0.00253598,EUR,MAGE,0.8409939096301722,0.0008528883299588,MAGE,white,NA12348,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.8409939096301722,Stage1_PCA
NA12399,NA12399,-0.0127792,-0.00800787,0.00883541,0.00320246,-0.000676466,-0.00222068,0.000215627,-0.00263252,0.000536136,0.00737089,-9.28586e-06,0.0137533,0.0169705,-0.0320601,-0.0118382,0.0262077,-0.0105091,0.00092816,0.000803062,0.00220003,EUR,MAGE,0.7230680357241966,0.0014854276334576,MAGE,white,NA12399,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7230680357241966,Stage1_PCA
NA12413,NA12413,-0.0124746,-0.0071914,0.00983799,0.00277976,0.000707258,0.000572619,0.00129912,0.000225147,0.00204904,0.00703784,-0.00052227,0.00610318,0.0178744,-0.0331895,-0.0115336,0.0283294,-0.0105306,-0.000642404,0.00142818,0.00114701,EUR,MAGE,0.8839830032505567,0.0006223003305994,MAGE,white,NA12413,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.8839830032505567,Stage1_PCA
NA12414,NA12414,-0.0126601,-0.00762099,0.00804923,0.00278995,-0.00191876,-0.00110469,-0.0016955,-0.00216952,-0.00197429,0.00771758,0.000929829,0.0139671,0.0175926,-0.0335457,-0.0105414,0.0274323,-0.0110388,-0.00139782,0.00212953,0.00493718,EUR,MAGE,0.797411257316546,0.0010866601022254,MAGE,white,NA12414,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.797411257316546,Stage1_PCA
NA12546,NA12546,-0.0126464,-0.00759632,0.0085083,0.00323097,0.000982422,-0.00155502,0.00065993,-0.000751589,-0.00164589,0.00817303,-0.00232462,0.011145,0.0166057,-0.0303568,-0.00994255,0.0254325,-0.00924646,0.000433096,0.00164493,0.00429319,EUR,MAGE,0.8026720574155731,0.0010584418434137,MAGE,white,NA12546,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.8026720574155731,Stage1_PCA
NA12717,NA12717,-0.0126958,-0.00771953,0.0102608,0.00185609,0.000471746,-0.0027572,0.000370861,0.000523702,-0.000937487,0.00604537,-0.00142726,0.0143755,0.016381,-0.0320622,-0.00965409,0.0257339,-0.00818191,-0.000391851,0.001995,0.00320393,EUR,MAGE,0.7780811251620237,0.0011903444585467,MAGE,white,NA12717,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7780811251620237,Stage1_PCA
NA12718,NA12718,-0.0125112,-0.00807035,0.00967499,0.00334443,-0.00122374,0.00211469,-2.63254e-05,0.000571979,0.000626824,0.00826745,-0.000840378,0.0106819,0.015987,-0.0324666,-0.0113583,0.0264058,-0.00956808,9.87381e-07,0.000430694,0.00376945,EUR,MAGE,0.7294427254792377,0.0014512346130108,MAGE,white,NA12718,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7294427254792377,Stage1_PCA
NA12748,NA12748,-0.0129529,-0.00760414,0.00866442,0.00259544,-0.00114307,-0.000311475,0.000773015,0.000431228,0.00140879,0.00437224,-0.00106526,0.0124835,0.0165679,-0.0315644,-0.0114575,0.0254126,-0.0111373,-0.00098986,0.0012815,0.00350971,EUR,MAGE,0.7686161397100864,0.0012411134298258,MAGE,white,NA12748,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7686161397100864,Stage1_PCA
NA12762,NA12762,-0.0128131,-0.00799306,0.00855757,0.00473092,0.00166047,0.00366921,-0.000462732,9.0442e-05,-0.00289892,0.00815192,0.000550861,0.0110014,0.0156868,-0.0299364,-0.0109387,0.0254442,-0.00961964,0.000308005,0.000803211,0.00361193,EUR,MAGE,0.7227457275315701,0.0014871564533758,MAGE,white,NA12762,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7227457275315701,Stage1_PCA
NA12778,NA12778,-0.0130569,-0.00867379,0.00823438,0.00394973,0.00045875,6.00801e-05,0.00235327,-0.00104593,0.000523258,0.00699363,0.000924892,0.0159526,0.0165923,-0.0325519,-0.0117489,0.0271017,-0.0104123,-0.00138773,-0.00139604,0.00281956,EUR,MAGE,0.5886746551731021,0.0022062965362094,MAGE,white,NA12778,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.5886746551731021,Stage1_PCA
NA12812,NA12812,-0.0128534,-0.0080614,0.00882684,0.00392027,-0.000511971,-0.000790756,-0.000790425,-0.00376774,-0.000779575,0.00684141,-0.000970623,0.0120611,0.0156206,-0.0313347,-0.0112955,0.0259084,-0.00966747,0.00080777,0.00178389,0.00343682,EUR,MAGE,0.7079813953427523,0.0015663504427016,MAGE,white,NA12812,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7079813953427523,Stage1_PCA
NA12815,NA12815,-0.0128212,-0.0076452,0.00797066,0.00397468,0.00180181,-0.000403203,-0.000407653,-0.000822511,0.000168174,0.00736921,-0.00149147,0.0169955,0.0158094,-0.0310107,-0.0110865,0.0264882,-0.0101578,-0.000518647,0.00130302,0.00277678,EUR,MAGE,0.7777085088741782,0.0011923431246526,MAGE,white,NA12815,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.7777085088741782,Stage1_PCA
NA12828,NA12828,-0.012587,-0.00792186,0.00797164,0.00509201,0.000223616,0.000695067,0.00471404,-0.00015939,0.000242485,0.00800012,0.000793217,0.00932876,0.016118,-0.031602,-0.0115811,0.026493,-0.00890146,-0.0033803,0.0015597,0.00281737,EUR,MAGE,0.751693239040006,0.0013318857043783,MAGE,white,NA12828,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.751693239040006,Stage1_PCA
NA12843,NA12843,-0.0130196,-0.00727697,0.00958029,0.00212923,-0.00180464,0.00130936,-0.00165715,-0.000536791,-0.00218066,0.00637615,-0.0017597,0.0168527,0.0157116,-0.0289837,-0.0105129,0.0248427,-0.00927352,0.000602535,0.000383002,0.00220168,EUR,MAGE,0.8002561152019407,0.0010714006484196,MAGE,white,NA12843,MAGE,,,CEU,EUR,EUR,,,unknown,,,,,,,Reference,EUR,0.8002561152019407,Stage1_PCA
