donor_id,dataset,sample_type,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,PC1,PC2,PC3,ethnicity_ancestry_concordance
NA12762,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0128131,-0.00799306,0.00855757,unknown
NA12778,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0130569,-0.00867379,0.00823438,unknown
NA12812,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0128534,-0.0080614,0.00882684,unknown
NA12815,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0128212,-0.0076452,0.00797066,unknown
NA12828,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.012587,-0.00792186,0.00797164,unknown
NA12843,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0130196,-0.00727697,0.00958029,unknown
NA12874,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.0126001,-0.00801039,0.0088005,unknown
NA12878,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.012627,-0.00803718,0.00872604,unknown
NA12889,MAGE,MAGE,,,CEU,EUR,EUR,,,-0.012633,-0.00853681,0.00926985,unknown
NA18486,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0558343,-0.00815457,-0.00396984,unknown
NA18501,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0561492,-0.00840024,-0.00387502,unknown
NA18504,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0565129,-0.00867784,-0.0050111,unknown
NA18507,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0565218,-0.00812548,-0.00491339,unknown
NA18508,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0560743,-0.0083449,-0.00418712,unknown
NA18516,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0564298,-0.00823384,-0.00439319,unknown
NA18522,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0559096,-0.00859091,-0.00424551,unknown
NA18528,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00305589,0.0596979,-0.0192496,unknown
NA18531,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00323896,0.0601532,-0.0175251,unknown
NA18535,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00324122,0.0597235,-0.0178001,unknown
NA18536,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00321639,0.0607078,-0.0182125,unknown
NA18541,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00324223,0.0602082,-0.0183391,unknown
NA18542,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00294697,0.0607119,-0.018135,unknown
NA18544,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.0032201,0.0603902,-0.0186,unknown
NA18545,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00291076,0.0619096,-0.0187539,unknown
NA18548,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.0032614,0.0604374,-0.0182609,unknown
NA18553,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.0029663,0.0602105,-0.0189022,unknown
NA18555,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00309651,0.0612704,-0.0190156,unknown
NA18557,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00309029,0.060981,-0.0185497,unknown
NA18558,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00320212,0.0607158,-0.0183571,unknown
NA18561,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00335944,0.059487,-0.0179834,unknown
NA18574,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.0033103,0.060846,-0.0177433,unknown
NA18596,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00313314,0.0611955,-0.0191894,unknown
NA18608,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00350323,0.0598307,-0.0173289,unknown
NA18609,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00342088,0.0593405,-0.0174967,unknown
NA18610,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.0032082,0.0609462,-0.0175656,unknown
NA18621,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00329626,0.0604812,-0.0187326,unknown
NA18622,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00309017,0.0610079,-0.0173396,unknown
NA18626,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00334611,0.0597013,-0.0184117,unknown
NA18636,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00271939,0.0619495,-0.0191065,unknown
NA18639,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00291401,0.0615877,-0.0168949,unknown
NA18645,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00288355,0.0618089,-0.0190856,unknown
NA18646,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00303737,0.0606274,-0.0176231,unknown
NA18745,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00323014,0.0609744,-0.0191804,unknown
NA18749,MAGE,MAGE,,,CHB,EAS,Unknown,,,-0.00305214,0.0603394,-0.0186194,unknown
NA18853,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0560587,-0.00798114,-0.00466617,unknown
NA18856,MAGE,MAGE,,,YRI,AFR,EAS,,,0.056022,-0.0086956,-0.00540808,unknown
NA18861,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0560555,-0.00828865,-0.00437037,unknown
NA18864,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0559216,-0.00822168,-0.00496899,unknown
NA18865,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0559026,-0.00833893,-0.00456132,unknown
NA18874,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0563305,-0.00827647,-0.00295084,unknown
NA18876,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0555732,-0.008106,-0.00302308,unknown
NA18877,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0563098,-0.00856057,-0.00441049,unknown
NA18878,MAGE,MAGE,,,YRI,AFR,EAS,,,0.0557318,-0.00874421,-0.00408573,unknown
