sample_id,data_source,sample_type,ethnicity_reported,consensus_ancestry,ancestry_confidence,ethnicity_ancestry_concordance,PC1,PC2,PC3
NA18878,MAGE,tissue,black or african american,,,unknown,0.0557318,-0.00874421,-0.00408573
NA18879,MAGE,tissue,black or african american,,,unknown,0.0561268,-0.00875167,-0.00573076
NA18881,MAGE,tissue,black or african american,,,unknown,0.0559161,-0.00829833,-0.00444282
NA18915,MAGE,tissue,black or african american,,,unknown,0.0564829,-0.00802496,-0.00536891
NA18924,MAGE,tissue,black or african american,,,unknown,0.0559248,-0.00834955,-0.00471998
NA18934,MAGE,tissue,black or african american,,,unknown,0.0562348,-0.00895368,-0.00480248
NA18942,MAGE,tissue,asian,,,unknown,-0.00285321,0.0601839,-0.018256
NA18948,MAGE,tissue,asian,,,unknown,-0.00301077,0.0597653,-0.0168119
NA18951,MAGE,tissue,asian,,,unknown,-0.00298233,0.0604268,-0.018083
NA18953,MAGE,tissue,asian,,,unknown,-0.00315447,0.0598901,-0.0175584
NA18954,MAGE,tissue,asian,,,unknown,-0.00306075,0.0606828,-0.0180152
NA18956,MAGE,tissue,asian,,,unknown,-0.00287098,0.0603312,-0.0189353
NA18962,MAGE,tissue,asian,,,unknown,-0.00294986,0.0596571,-0.0177776
NA18963,MAGE,tissue,asian,,,unknown,-0.00299138,0.0608304,-0.0188242
NA18969,MAGE,tissue,asian,,,unknown,-0.00312692,0.0601801,-0.0188013
NA18970,MAGE,tissue,asian,,,unknown,-0.0030375,0.060129,-0.019358
NA18971,MAGE,tissue,asian,,,unknown,-0.00294132,0.0605542,-0.0183719
NA18972,MAGE,tissue,asian,,,unknown,-0.00299837,0.0602299,-0.0182732
NA18977,MAGE,tissue,asian,,,unknown,-0.00300396,0.0600076,-0.0180314
NA18982,MAGE,tissue,asian,,,unknown,-0.0029827,0.0595743,-0.0172164
NA18987,MAGE,tissue,asian,,,unknown,-0.00318377,0.0601463,-0.0181282
NA18995,MAGE,tissue,asian,,,unknown,-0.00319749,0.0601739,-0.0180644
NA18997,MAGE,tissue,asian,,,unknown,-0.00311388,0.0601252,-0.0188927
NA19009,MAGE,tissue,asian,,,unknown,-0.00308947,0.060257,-0.0190214
NA19010,MAGE,tissue,asian,,,unknown,-0.00302974,0.0601111,-0.0183462
NA19025,MAGE,tissue,black or african american,,,unknown,0.0511238,-0.00560817,-0.00270918
NA19026,MAGE,tissue,black or african american,,,unknown,0.0508546,-0.00615527,-0.00406333
NA19028,MAGE,tissue,black or african american,,,unknown,0.0495028,-0.0054127,-0.00362048
NA19038,MAGE,tissue,black or african american,,,unknown,0.0512024,-0.00601931,-0.00396567
NA19054,MAGE,tissue,asian,,,unknown,-0.0029754,0.0605861,-0.0184887
NA19055,MAGE,tissue,asian,,,unknown,-0.00288457,0.0604443,-0.0187038
NA19062,MAGE,tissue,asian,,,unknown,-0.0028938,0.0603587,-0.0185777
NA19064,MAGE,tissue,asian,,,unknown,-0.00287706,0.0609747,-0.0190048
NA19068,MAGE,tissue,asian,,,unknown,-0.00317925,0.0603213,-0.0183989
NA19075,MAGE,tissue,asian,,,unknown,-0.00318153,0.0598695,-0.0172525
NA19077,MAGE,tissue,asian,,,unknown,-0.00305298,0.0602185,-0.0185118
NA19080,MAGE,tissue,asian,,,unknown,-0.00285839,0.0604582,-0.0184612
NA19081,MAGE,tissue,asian,,,unknown,-0.00302245,0.0600418,-0.0196242
NA19095,MAGE,tissue,black or african american,,,unknown,0.0564571,-0.00847505,-0.00373494
NA19116,MAGE,tissue,black or african american,,,unknown,0.0563893,-0.00857575,-0.00452312
NA19117,MAGE,tissue,black or african american,,,unknown,0.055975,-0.00794914,-0.00416752
NA19129,MAGE,tissue,black or african american,,,unknown,0.0554923,-0.00827861,-0.00450575
NA19143,MAGE,tissue,black or african american,,,unknown,0.0562989,-0.00850486,-0.00459982
NA19238,MAGE,tissue,black or african american,,,unknown,0.0558382,-0.00860318,-0.00544465
NA19239,MAGE,tissue,black or african american,,,unknown,0.0566553,-0.00849997,-0.00395532
NA19308,MAGE,tissue,black or african american,,,unknown,0.0511065,-0.00600999,-0.00374658
NA19312,MAGE,tissue,black or african american,,,unknown,0.0512487,-0.00620632,-0.00342049
NA19317,MAGE,tissue,black or african american,,,unknown,0.0513863,-0.00608434,-0.00498538
NA19323,MAGE,tissue,black or african american,,,unknown,0.048975,-0.00532669,-0.00347653
NA19332,MAGE,tissue,black or african american,,,unknown,0.0503489,-0.00526343,-0.00478698
NA19334,MAGE,tissue,black or african american,,,unknown,0.050456,-0.00549706,-0.00399391
NA19338,MAGE,tissue,black or african american,,,unknown,0.0503626,-0.00614346,-0.00422167
NA19346,MAGE,tissue,black or african american,,,unknown,0.0509701,-0.00553987,-0.00394864
NA19351,MAGE,tissue,black or african american,,,unknown,0.0513269,-0.00612557,-0.00488975
NA19355,MAGE,tissue,black or african american,,,unknown,0.0499316,-0.00534571,-0.00365813
NA19374,MAGE,tissue,black or african american,,,unknown,0.0499787,-0.00520452,-0.00409931
NA19377,MAGE,tissue,black or african american,,,unknown,0.0510969,-0.006248,-0.00458835
NA19385,MAGE,tissue,black or african american,,,unknown,0.0496427,-0.00561324,-0.00334696
NA19393,MAGE,tissue,black or african american,,,unknown,0.0505556,-0.00573606,-0.00492517
NA19397,MAGE,tissue,black or african american,,,unknown,0.0514975,-0.00588059,-0.00365451
NA19401,MAGE,tissue,black or african american,,,unknown,0.0498213,-0.00546437,-0.00362183
NA19404,MAGE,tissue,black or african american,,,unknown,0.0515521,-0.00596493,-0.00463225
