sample_id,data_source,sample_type,ethnicity_reported,consensus_ancestry,ancestry_confidence,ethnicity_ancestry_concordance,PC1,PC2,PC3
GTEX-13JUV,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0479279,-0.00616583,0.00527251
GTEX-13JUV,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0479279,-0.00616583,0.00527251
GTEX-13JUV,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0479279,-0.00616583,0.00527251
GTEX-13JUV,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0479279,-0.00616583,0.00527251
GTEX-13JUV,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0479279,-0.00616583,0.00527251
GTEX-13JUV,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0479279,-0.00616583,0.00527251
GTEX-13JUV,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0479279,-0.00616583,0.00527251
GTEX-13JUV,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0479279,-0.00616583,0.00527251
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13JVG,GTEx,tissue,white,EUR,1.0,uncertain,-0.0119269,-0.00789566,0.00509597
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N11,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0471284,-0.00851896,0.00443352
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N1W,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118983,-0.00643868,0.00730192
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13N2G,GTEx,tissue,white,EUR,1.0,uncertain,-0.0114018,-0.00917966,0.00326595
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYB,GTEx,tissue,black or african american,AFR,1.0,uncertain,0.0464051,-0.00800026,0.00391912
GTEX-13NYC,GTEx,tissue,white,EUR,0.8028061444783725,uncertain,-0.011168,-0.00672994,0.00829335
GTEX-13NYC,GTEx,tissue,white,EUR,0.8028061444783725,uncertain,-0.011168,-0.00672994,0.00829335
GTEX-13NYC,GTEx,tissue,white,EUR,0.8028061444783725,uncertain,-0.011168,-0.00672994,0.00829335
GTEX-13NYC,GTEx,tissue,white,EUR,0.8028061444783725,uncertain,-0.011168,-0.00672994,0.00829335
GTEX-13NYC,GTEx,tissue,white,EUR,0.8028061444783725,uncertain,-0.011168,-0.00672994,0.00829335
GTEX-13NYC,GTEx,tissue,white,EUR,0.8028061444783725,uncertain,-0.011168,-0.00672994,0.00829335
GTEX-13NYC,GTEx,tissue,white,EUR,0.8028061444783725,uncertain,-0.011168,-0.00672994,0.00829335
GTEX-13NYC,GTEx,tissue,white,EUR,0.8028061444783725,uncertain,-0.011168,-0.00672994,0.00829335
GTEX-13NYC,GTEx,tissue,white,EUR,0.8028061444783725,uncertain,-0.011168,-0.00672994,0.00829335
GTEX-13NYC,GTEx,tissue,white,EUR,0.8028061444783725,uncertain,-0.011168,-0.00672994,0.00829335
GTEX-13NYC,GTEx,tissue,white,EUR,0.8028061444783725,uncertain,-0.011168,-0.00672994,0.00829335
GTEX-13NYC,GTEx,tissue,white,EUR,0.8028061444783725,uncertain,-0.011168,-0.00672994,0.00829335
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NYS,GTEx,tissue,white,EUR,1.0,uncertain,-0.0121241,-0.00765929,0.00566923
GTEX-13NZ8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118163,-0.0065971,0.00616305
GTEX-13NZ8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118163,-0.0065971,0.00616305
GTEX-13NZ8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118163,-0.0065971,0.00616305
GTEX-13NZ8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118163,-0.0065971,0.00616305
GTEX-13NZ8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118163,-0.0065971,0.00616305
GTEX-13NZ8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118163,-0.0065971,0.00616305
GTEX-13NZ8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118163,-0.0065971,0.00616305
GTEX-13NZ8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118163,-0.0065971,0.00616305
GTEX-13NZ8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118163,-0.0065971,0.00616305
GTEX-13NZ8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118163,-0.0065971,0.00616305
GTEX-13NZ8,GTEx,tissue,white,EUR,1.0,uncertain,-0.0118163,-0.0065971,0.00616305
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZ9,GTEx,tissue,asian,EAS,1.0,uncertain,-0.00121004,0.0705139,-0.0099356
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZA,GTEx,tissue,white,EUR,1.0,uncertain,-0.012068,-0.00822074,0.0060128
GTEX-13NZB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0120637,-0.00832632,0.00375473
GTEX-13NZB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0120637,-0.00832632,0.00375473
GTEX-13NZB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0120637,-0.00832632,0.00375473
GTEX-13NZB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0120637,-0.00832632,0.00375473
GTEX-13NZB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0120637,-0.00832632,0.00375473
GTEX-13NZB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0120637,-0.00832632,0.00375473
GTEX-13NZB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0120637,-0.00832632,0.00375473
GTEX-13NZB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0120637,-0.00832632,0.00375473
GTEX-13NZB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0120637,-0.00832632,0.00375473
GTEX-13NZB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0120637,-0.00832632,0.00375473
GTEX-13NZB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0120637,-0.00832632,0.00375473
GTEX-13NZB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0120637,-0.00832632,0.00375473
GTEX-13NZB,GTEx,tissue,white,EUR,1.0,uncertain,-0.0120637,-0.00832632,0.00375473
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
GTEX-13O1R,GTEx,tissue,white,EUR,1.0,uncertain,-0.0117598,-0.00757549,0.00728453
