donor_id,dataset,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,ethnicity_ancestry_concordance,PC1,PC2
NA18874,MAGE,,,YRI,AFR,EAS,,,unknown,0.0563305,-0.00827647
NA18876,MAGE,,,YRI,AFR,EAS,,,unknown,0.0555732,-0.008106
NA18877,MAGE,,,YRI,AFR,EAS,,,unknown,0.0563098,-0.00856057
NA18878,MAGE,,,YRI,AFR,EAS,,,unknown,0.0557318,-0.00874421
NA18879,MAGE,,,YRI,AFR,EAS,,,unknown,0.0561268,-0.00875167
NA18881,MAGE,,,YRI,AFR,EAS,,,unknown,0.0559161,-0.00829833
NA18915,MAGE,,,YRI,AFR,EAS,,,unknown,0.0564829,-0.00802496
NA18924,MAGE,,,YRI,AFR,EAS,,,unknown,0.0559248,-0.00834955
NA18934,MAGE,,,YRI,AFR,EAS,,,unknown,0.0562348,-0.00895368
NA18942,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00285321,0.0601839
NA18948,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00301077,0.0597653
NA18951,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00298233,0.0604268
NA18953,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00315447,0.0598901
NA18954,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00306075,0.0606828
NA18956,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00287098,0.0603312
NA18962,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00294986,0.0596571
NA18963,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00299138,0.0608304
NA18969,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00312692,0.0601801
NA18970,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.0030375,0.060129
NA18971,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00294132,0.0605542
NA18972,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00299837,0.0602299
NA18977,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00300396,0.0600076
NA18982,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.0029827,0.0595743
NA18987,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00318377,0.0601463
NA18995,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00319749,0.0601739
NA18997,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00311388,0.0601252
NA19009,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00308947,0.060257
NA19010,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00302974,0.0601111
NA19025,MAGE,,,LWK,AFR,EAS,,,unknown,0.0511238,-0.00560817
NA19026,MAGE,,,LWK,AFR,EAS,,,unknown,0.0508546,-0.00615527
NA19028,MAGE,,,LWK,AFR,EAS,,,unknown,0.0495028,-0.0054127
NA19038,MAGE,,,LWK,AFR,EAS,,,unknown,0.0512024,-0.00601931
NA19054,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.0029754,0.0605861
NA19055,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00288457,0.0604443
NA19062,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.0028938,0.0603587
NA19064,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00287706,0.0609747
NA19068,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00317925,0.0603213
NA19075,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00318153,0.0598695
NA19077,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00305298,0.0602185
NA19080,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00285839,0.0604582
NA19081,MAGE,,,JPT,EAS,Unknown,,,unknown,-0.00302245,0.0600418
NA19095,MAGE,,,YRI,AFR,EAS,,,unknown,0.0564571,-0.00847505
NA19116,MAGE,,,YRI,AFR,EAS,,,unknown,0.0563893,-0.00857575
NA19117,MAGE,,,YRI,AFR,EAS,,,unknown,0.055975,-0.00794914
NA19129,MAGE,,,YRI,AFR,EAS,,,unknown,0.0554923,-0.00827861
NA19143,MAGE,,,YRI,AFR,EAS,,,unknown,0.0562989,-0.00850486
NA19238,MAGE,,,YRI,AFR,EAS,,,unknown,0.0558382,-0.00860318
NA19239,MAGE,,,YRI,AFR,EAS,,,unknown,0.0566553,-0.00849997
NA19308,MAGE,,,LWK,AFR,EAS,,,unknown,0.0511065,-0.00600999
NA19312,MAGE,,,LWK,AFR,EAS,,,unknown,0.0512487,-0.00620632
NA19317,MAGE,,,LWK,AFR,EAS,,,unknown,0.0513863,-0.00608434
NA19323,MAGE,,,LWK,AFR,EAS,,,unknown,0.048975,-0.00532669
NA19332,MAGE,,,LWK,AFR,EAS,,,unknown,0.0503489,-0.00526343
NA19334,MAGE,,,LWK,AFR,EAS,,,unknown,0.050456,-0.00549706
NA19338,MAGE,,,LWK,AFR,EAS,,,unknown,0.0503626,-0.00614346
NA19346,MAGE,,,LWK,AFR,EAS,,,unknown,0.0509701,-0.00553987
NA19351,MAGE,,,LWK,AFR,EAS,,,unknown,0.0513269,-0.00612557
NA19355,MAGE,,,LWK,AFR,EAS,,,unknown,0.0499316,-0.00534571
NA19374,MAGE,,,LWK,AFR,EAS,,,unknown,0.0499787,-0.00520452
NA19377,MAGE,,,LWK,AFR,EAS,,,unknown,0.0510969,-0.006248
NA19385,MAGE,,,LWK,AFR,EAS,,,unknown,0.0496427,-0.00561324
NA19393,MAGE,,,LWK,AFR,EAS,,,unknown,0.0505556,-0.00573606
NA19397,MAGE,,,LWK,AFR,EAS,,,unknown,0.0514975,-0.00588059
NA19401,MAGE,,,LWK,AFR,EAS,,,unknown,0.0498213,-0.00546437
NA19404,MAGE,,,LWK,AFR,EAS,,,unknown,0.0515521,-0.00596493
NA19430,MAGE,,,LWK,AFR,EAS,,,unknown,0.0510498,-0.00601143
NA19438,MAGE,,,LWK,AFR,EAS,,,unknown,0.0518165,-0.00607092
NA19443,MAGE,,,LWK,AFR,EAS,,,unknown,0.0504195,-0.00547395
