donor_id,dataset,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,ethnicity_ancestry_concordance,PC1,PC2
002_S_4225,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5955691775205995,discordant,-0.00909925,-0.0126166
002_S_4229,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5921902640450918,discordant,-0.00895195,-0.0126759
002_S_4251,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5964415688777732,discordant,-0.0089536,-0.0123569
002_S_4270,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8054780088047037,discordant,-0.00870723,-0.013046
002_S_4447,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00602102,-0.00925063
002_S_4473,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8054622411210911,discordant,-0.00915018,-0.012726
002_S_4521,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5909212731553242,discordant,-0.00866306,-0.0126735
003_S_0907,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5848513571337236,discordant,-0.00861072,-0.012416
003_S_0908,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6055398600843124,discordant,-0.00921711,-0.0130366
003_S_1057,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.5759786025547351,discordant,0.0286163,-0.00143072
003_S_1074,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6043588653000705,discordant,-0.00895873,-0.0113029
003_S_1122,ADNI,white,HANCESTRO:0005,,,Unknown,AMR,1.0,discordant,-0.0018716,0.0119949
003_S_2374,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5889829104854261,discordant,-0.00855019,-0.0127442
003_S_4081,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5894927974332219,discordant,-0.00688875,-0.0115273
003_S_4136,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6067133223535771,discordant,-0.00905681,-0.0126351
003_S_4152,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8038757619969367,discordant,-0.00904167,-0.0123621
003_S_4288,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00645103,-0.00839853
003_S_4350,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8048320076097798,discordant,-0.00885561,-0.0115542
003_S_4354,ADNI,white,HANCESTRO:0005,,,Unknown,EUR,1.0,concordant,-0.0071814,-0.0109211
003_S_4373,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6131822625476833,discordant,-0.00898875,-0.0120096
003_S_4441,ADNI,black or african american,HANCESTRO:0010,,,EAS,Uncertain,0.6257875964985418,discordant,0.0121874,-0.00531012
003_S_4555,ADNI,white,HANCESTRO:0005,,,Unknown,AMR,1.0,discordant,-0.00118378,0.00669714
005_S_0546,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6100609640400342,discordant,-0.00877571,-0.0122953
005_S_0553,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5866665641069849,discordant,-0.00874852,-0.0118394
005_S_0572,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.607959735290667,discordant,-0.0087811,-0.0124125
005_S_0602,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8043601716584442,discordant,-0.00889356,-0.0132424
005_S_0610,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.583855472139657,discordant,-0.00873905,-0.0121419
005_S_2390,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.4119169773878566,discordant,-0.00841114,-0.0113751
005_S_4168,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5888392839020095,discordant,-0.00853856,-0.0117885
005_S_4185,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6076520050897405,discordant,-0.00879095,-0.0123795
005_S_4707,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5880030456090012,discordant,-0.00889082,-0.0126426
006_S_0498,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5936865445918224,discordant,-0.00894553,-0.0121686
006_S_0731,ADNI,white,HANCESTRO:0005,,,Unknown,AMR,0.8006228761080466,discordant,-0.00836316,-0.0116657
006_S_1130,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00625815,-0.00792546
006_S_4150,ADNI,white,HANCESTRO:0005,,,EUR,Uncertain,0.6085848892592947,discordant,-0.00843955,-0.00991628
006_S_4153,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.593088662090313,discordant,-0.00901604,-0.0108774
006_S_4346,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5846874374619762,discordant,-0.00887003,-0.0122427
006_S_4357,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8041507337519148,discordant,-0.00873017,-0.011075
006_S_4363,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5923748214401413,discordant,-0.00878944,-0.0126029
006_S_4449,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5941515296397089,discordant,-0.00833805,-0.0120318
006_S_4515,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6078799306045874,discordant,-0.00904053,-0.011886
006_S_4546,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5857268391569163,discordant,-0.0087412,-0.0119438
007_S_0068,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6054677968049869,discordant,-0.00879163,-0.0113541
007_S_0101,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5901267334820969,discordant,-0.00901869,-0.0126406
007_S_0128,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6031747417727155,discordant,-0.00924045,-0.0116247
007_S_1206,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5929678669933341,discordant,-0.00894545,-0.01209
007_S_1222,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.5821705972162985,discordant,0.0318867,-0.00013547
007_S_2058,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5891548133304763,discordant,-0.00879991,-0.0133234
007_S_2394,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5854588549794171,discordant,-0.00853516,-0.012674
007_S_4272,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8048943798143179,discordant,-0.00880979,-0.0109859
007_S_4387,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6099915389000387,discordant,-0.00912338,-0.0119757
007_S_4467,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.4106142433935715,discordant,-0.00866032,-0.011443
007_S_4488,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8030001985342625,discordant,-0.00912506,-0.0127889
007_S_4516,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6045320893166474,discordant,-0.00874195,-0.0122287
007_S_4611,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.597477141217593,discordant,-0.00875409,-0.0112451
007_S_4620,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5911256010771173,discordant,-0.00901343,-0.0116781
009_S_0842,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6041398076730956,discordant,-0.00884288,-0.0121405
009_S_1030,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.606884760674977,discordant,-0.00878903,-0.0131974
009_S_2208,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8062162946725644,discordant,-0.00889964,-0.012081
009_S_2381,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5911818228606311,discordant,-0.00877264,-0.0119337
009_S_4324,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6106521453859504,discordant,-0.00866388,-0.0128441
009_S_4337,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00676797,-0.00989574
009_S_4359,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5890875708932849,discordant,-0.00882592,-0.0117943
009_S_4388,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6106531494476319,discordant,-0.00894679,-0.0116898
009_S_4530,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6075759854776714,discordant,-0.00837884,-0.01176
009_S_4564,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5925636047192921,discordant,-0.00874694,-0.0121455
009_S_4612,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5891642946077377,discordant,-0.008349,-0.0112372
011_S_0008,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8060455626386992,discordant,-0.00798361,-0.0116241
011_S_0021,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.4101835879759679,discordant,0.0317617,0.000402621
011_S_0023,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.4096352535193073,discordant,0.0351713,0.000613195
011_S_1080,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8033024931372491,discordant,-0.00840468,-0.01166
011_S_1282,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8060375574890566,discordant,-0.00888068,-0.0126161
011_S_2274,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8051575937046778,discordant,-0.00834304,-0.0128081
011_S_4075,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00549865,-0.00780834
011_S_4120,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5907275620948998,discordant,-0.00908809,-0.0126552
011_S_4222,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5898927437549161,discordant,-0.00881361,-0.0129126
011_S_4235,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5913709998383077,discordant,-0.00878173,-0.01191
011_S_4366,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5928981135349568,discordant,-0.00896337,-0.0132391
011_S_4547,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5980462031569242,discordant,-0.00912993,-0.0127985
012_S_0637,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5903555815357091,discordant,-0.00868329,-0.0132534
012_S_4012,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6048514297646185,discordant,-0.00848077,-0.012714
012_S_4026,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6052088277881221,discordant,-0.00860093,-0.0123663
012_S_4094,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5914584373414052,discordant,-0.00889511,-0.0120273
012_S_4128,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6028667802642961,discordant,-0.00928096,-0.0120654
012_S_4545,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.606398026327276,discordant,-0.00900092,-0.0125785
012_S_4643,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8061186600419845,discordant,-0.00854605,-0.0116213
013_S_1186,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00663712,-0.0097825
013_S_2324,ADNI,unknown or not reported,unknown,,,Unknown,AMR,1.0,uncertain,0.00685231,0.00271014
013_S_2389,ADNI,unknown or not reported,unknown,,,SAS,AMR,1.0,uncertain,0.00279022,0.00290045
013_S_4268,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00584084,-0.00704691
013_S_4395,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.4138894492000398,discordant,0.0424395,0.002293
013_S_4595,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8051318102624078,discordant,-0.00896657,-0.0121819
014_S_0169,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.4101818692407881,discordant,-0.00878979,-0.0130405
014_S_0519,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6057845041259903,discordant,-0.00901045,-0.0122962
014_S_0548,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6039556970046269,discordant,-0.00906914,-0.0123889
014_S_0557,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6058327304513516,discordant,-0.00938783,-0.0121557
014_S_0563,ADNI,white,HANCESTRO:0005,,,Unknown,EUR,1.0,concordant,-0.00671063,-0.0101573
014_S_0658,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6062881865634966,discordant,-0.00914414,-0.0119352
014_S_2185,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6098558401603065,discordant,-0.0087697,-0.0123506
014_S_2308,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6082780238882985,discordant,-0.00845053,-0.0119675
014_S_4039,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5923361531594273,discordant,-0.00848288,-0.0134826
014_S_4058,ADNI,white,HANCESTRO:0005,,,Unknown,EUR,0.799095162223124,concordant,-0.00875984,-0.0102338
014_S_4079,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5970277073430336,discordant,-0.00801197,-0.0120645
014_S_4093,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.4134858538563364,discordant,-0.00842742,-0.0123262
014_S_4263,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5922019670064972,discordant,-0.00912426,-0.0128953
014_S_4401,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8050493920550187,discordant,-0.00879777,-0.0125202
014_S_4576,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.4108901923543249,discordant,0.0376445,0.00249073
014_S_4577,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.4072026486696581,discordant,0.0431787,0.00294445
014_S_4668,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5906045336146131,discordant,-0.00774559,-0.0115915
016_S_0359,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00539784,-0.00762697
016_S_2284,ADNI,white,HANCESTRO:0005,,,Unknown,AMR,1.0,discordant,0.00215358,0.0156359
016_S_4009,ADNI,white,HANCESTRO:0005,,,SAS,AMR,1.0,discordant,-0.00375194,-7.76603e-05
016_S_4097,ADNI,white,HANCESTRO:0005,,,Unknown,AMR,1.0,discordant,0.00390574,0.0203567
016_S_4353,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00542714,-0.00770431
016_S_4591,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5968952698871378,discordant,-0.00918501,-0.012152
018_S_0055,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.611130144187895,discordant,-0.00836779,-0.0109355
018_S_0142,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6057457518942433,discordant,-0.00900204,-0.0126103
018_S_2133,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.604215468395439,discordant,-0.00909661,-0.0130031
018_S_2138,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5965664354385182,discordant,-0.00852128,-0.0125681
018_S_2155,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5858940567627335,discordant,-0.00867693,-0.0131057
018_S_2180,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5839447385208417,discordant,-0.00824657,-0.0117179
018_S_4257,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5870221387620794,discordant,-0.00887285,-0.0116824
018_S_4313,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8059922600459213,discordant,-0.00889335,-0.0124049
018_S_4349,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00568556,-0.00709009
018_S_4399,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5881165942267805,discordant,-0.00870272,-0.0126315
018_S_4400,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5955598320648455,discordant,-0.00922727,-0.0130456
018_S_4597,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8048664816705434,discordant,-0.0093438,-0.0131293
018_S_4696,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6087716504585126,discordant,-0.00900748,-0.0130889
019_S_4252,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5899149216721389,discordant,-0.00879737,-0.0125031
019_S_4285,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6068297436085266,discordant,-0.00898159,-0.0128742
019_S_4293,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5892623099399057,discordant,-0.0087327,-0.0119322
019_S_4367,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8051694225833531,discordant,-0.00860643,-0.0110488
019_S_4477,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5937634617514861,discordant,-0.00863774,-0.0131058
020_S_1288,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00559374,-0.00834355
021_S_0159,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,1.0,discordant,-0.00914725,-0.0121838
021_S_0276,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00561161,-0.00853936
021_S_0337,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5943355237967933,discordant,-0.00874495,-0.0127734
021_S_0984,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8043531799444892,discordant,-0.0088427,-0.0117963
021_S_2100,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5927472179965365,discordant,-0.00873391,-0.0127265
021_S_2124,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8041582888760913,discordant,-0.00916951,-0.0122085
021_S_2125,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6073528398504847,discordant,-0.00886528,-0.0123395
021_S_2142,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5922193690170687,discordant,-0.00770795,-0.0120795
021_S_2150,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5929007899135805,discordant,-0.00893434,-0.012756
021_S_4245,ADNI,asian,HANCESTRO:0014,,,Unknown,SAS,1.0,concordant,-0.000318057,0.0283129
021_S_4254,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6059922584113425,discordant,-0.00864608,-0.010986
021_S_4276,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6072880115754661,discordant,-0.00878728,-0.0117406
021_S_4335,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5911961641970559,discordant,-0.00847538,-0.0113769
021_S_4402,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5910002506872668,discordant,-0.00879006,-0.0126583
021_S_4419,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.3993051777455342,discordant,0.0248044,-0.0020764
021_S_4421,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.588006341149018,discordant,-0.00849858,-0.0115482
022_S_0130,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00516045,-0.00792083
022_S_1097,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5919422726549465,discordant,-0.00878304,-0.0125528
022_S_1351,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6013820035242669,discordant,-0.00849596,-0.0112429
022_S_2087,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8029053438744003,discordant,-0.00901908,-0.0123864
022_S_2379,ADNI,multiethnic,multiethnic,,,SAS,AMR,1.0,uncertain,0.00268039,-0.00118059
022_S_4173,ADNI,white,HANCESTRO:0005,,,EUR,AFR,0.8102169891521168,discordant,-0.00809304,-0.00827831
022_S_4196,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6051700742144862,discordant,-0.00875321,-0.011434
022_S_4266,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00547217,-0.00839842
022_S_4291,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.591112973030698,discordant,-0.00929541,-0.0132074
022_S_4320,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6080009628419171,discordant,-0.00888249,-0.0121025
022_S_4444,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8043214728327535,discordant,-0.00883732,-0.0127223
023_S_0031,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5857646534755083,discordant,-0.00879565,-0.0120802
023_S_0042,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5904888045611315,discordant,-0.0087633,-0.0124264
023_S_0058,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.806447628317269,discordant,-0.00891266,-0.0127701
023_S_0126,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6088420849430894,discordant,-0.00903189,-0.012922
023_S_0217,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5931259315257937,discordant,-0.00880187,-0.0123408
023_S_0331,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.588700673011508,discordant,-0.00901056,-0.0119456
023_S_0625,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6110525833255617,discordant,-0.0083199,-0.0116293
023_S_0887,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5847519935391073,discordant,-0.00715925,-0.0116479
023_S_1046,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6104840296068166,discordant,-0.00891481,-0.0131501
023_S_1190,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5931150367242093,discordant,-0.00897609,-0.0127173
023_S_2068,ADNI,multiethnic,multiethnic,,,Unknown,Uncertain,0.6059659322184625,uncertain,-0.00891142,-0.0129995
023_S_4020,ADNI,white,HANCESTRO:0005,,,Unknown,AMR,0.7952640940792042,discordant,-0.00627575,-0.0109422
023_S_4035,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.807815205895233,discordant,-0.00892449,-0.0127449
023_S_4115,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8059113152915234,discordant,-0.00876324,-0.0115182
023_S_4122,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5908771100511134,discordant,-0.00882609,-0.0127186
023_S_4164,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6063992143391127,discordant,-0.00926818,-0.0133088
023_S_4243,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5918345654514026,discordant,-0.0082331,-0.0120584
023_S_4448,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6092868812396819,discordant,-0.00864414,-0.0122337
023_S_4501,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.604785634459787,discordant,-0.00883128,-0.0120679
024_S_0985,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6067207816675362,discordant,-0.00889801,-0.0118736
024_S_1063,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.5854740831874874,discordant,0.0221414,-0.00141276
024_S_2239,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5876010899860156,discordant,-0.00824291,-0.0114944
024_S_4169,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.4086669508503232,discordant,0.0280542,-0.000587775
024_S_4223,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5874911872933398,discordant,-0.00882327,-0.0124449
024_S_4280,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5932816879820207,discordant,-0.00899202,-0.0127302
024_S_4392,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00734211,-0.00968293
027_S_0074,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5872404847465216,discordant,-0.00902432,-0.0129342
027_S_0118,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.587676728535974,discordant,-0.00879133,-0.0111194
027_S_0120,ADNI,white,HANCESTRO:0005,,,EUR,Uncertain,0.5962547338348365,discordant,-0.00684012,-0.00888369
027_S_0256,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8036101021315494,discordant,-0.00857655,-0.0128405
027_S_0644,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6053154322350637,discordant,-0.00882628,-0.0120996
027_S_0835,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5925479256700078,discordant,-0.00863858,-0.0120158
027_S_1045,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5855430203443329,discordant,-0.00868193,-0.0119876
027_S_1387,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00564065,-0.00764055
027_S_2219,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8054773745451623,discordant,-0.00911078,-0.0121152
027_S_2245,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5878711684221566,discordant,-0.00884508,-0.0121962
027_S_2336,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6052228204990767,discordant,-0.00883378,-0.0121057
029_S_0824,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5869478674581988,discordant,-0.00884049,-0.0122014
029_S_0843,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5988382818127708,discordant,-0.00862051,-0.0109959
029_S_0845,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5906684455443296,discordant,-0.00878469,-0.0112755
029_S_0878,ADNI,asian,HANCESTRO:0014,,,Unknown,EAS,1.0,concordant,0.00287263,0.0754772
029_S_0914,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6066271867175647,discordant,-0.00867031,-0.0127457
029_S_1218,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.4122983739399096,discordant,-0.00841418,-0.0116036
029_S_1318,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5916786746001395,discordant,-0.00872201,-0.0120875
029_S_2376,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6085922445243939,discordant,-0.00889987,-0.0120606
029_S_2395,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8042467490348999,discordant,-0.0090523,-0.0116263
029_S_4279,ADNI,asian,HANCESTRO:0014,,,Unknown,EAS,1.0,concordant,0.00275269,0.0750303
029_S_4290,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,concordant,-0.00540549,-0.00736483
029_S_4307,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6100724006087035,discordant,-0.00876481,-0.0129135
029_S_4327,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5928785892433036,discordant,-0.00849302,-0.0124097
029_S_4384,ADNI,american indian or alaska native,HANCESTRO:0004,,,Unknown,Uncertain,0.593690742790372,discordant,-0.00881963,-0.0131232
029_S_4385,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6081860767543747,discordant,-0.00886185,-0.0104937
031_S_0294,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5881355036763745,discordant,-0.00896452,-0.0129033
031_S_0830,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6089791631297046,discordant,-0.00809683,-0.0129143
031_S_0867,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5912641075128151,discordant,-0.00907766,-0.0132529
031_S_1066,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6081215637319518,discordant,-0.00879775,-0.0118536
031_S_2018,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6073941109244008,discordant,-0.00905588,-0.0118236
