IID,sample_type,KNN_prediction,RandomForest_prediction,consensus_prediction,KNN_confidence,RandomForest_confidence
014_S_4058,ADNI,EUR,AFR,EUR,0.799095162223124,0.3
014_S_4079,ADNI,AMR,AFR,Uncertain,0.5970277073430336,0.3
014_S_4093,ADNI,AFR,AFR,Uncertain,0.4134858538563364,0.31
014_S_4263,ADNI,EUR,AFR,Uncertain,0.5922019670064972,0.28
014_S_4401,ADNI,AFR,EUR,AFR,0.8050493920550187,0.33
014_S_4576,ADNI,AMR,AFR,Uncertain,0.41089019235432495,0.46
014_S_4577,ADNI,AMR,AFR,Uncertain,0.40720264866965816,0.46
014_S_4668,ADNI,EUR,AFR,Uncertain,0.5906045336146131,0.31
016_S_0359,ADNI,EUR,EUR,EUR,1.0,0.3
016_S_2284,ADNI,AMR,AMR,AMR,1.0,0.86
016_S_4009,ADNI,AMR,AMR,AMR,1.0,0.6
016_S_4097,ADNI,AMR,AMR,AMR,1.0,0.9
016_S_4353,ADNI,EUR,EUR,EUR,1.0,0.29
016_S_4591,ADNI,EUR,AFR,Uncertain,0.5968952698871378,0.3
018_S_0055,ADNI,AFR,AFR,Uncertain,0.611130144187895,0.28
018_S_0142,ADNI,AFR,AFR,Uncertain,0.6057457518942433,0.31
018_S_2133,ADNI,AFR,AFR,Uncertain,0.604215468395439,0.31
018_S_2138,ADNI,AMR,EAS,Uncertain,0.5965664354385182,0.24
018_S_2155,ADNI,EUR,AFR,Uncertain,0.5858940567627335,0.28
018_S_2180,ADNI,EUR,AFR,Uncertain,0.5839447385208417,0.3
018_S_4257,ADNI,EUR,EUR,Uncertain,0.5870221387620794,0.3
018_S_4313,ADNI,AFR,AFR,AFR,0.8059922600459213,0.28
018_S_4349,ADNI,EUR,EUR,EUR,1.0,0.32
018_S_4399,ADNI,EUR,AFR,Uncertain,0.5881165942267805,0.32
018_S_4400,ADNI,EUR,AFR,Uncertain,0.5955598320648455,0.25
018_S_4597,ADNI,AFR,AFR,AFR,0.8048664816705434,0.33
018_S_4696,ADNI,AFR,EUR,Uncertain,0.6087716504585126,0.32
019_S_4252,ADNI,EUR,EUR,Uncertain,0.5899149216721389,0.31
019_S_4285,ADNI,AFR,AFR,Uncertain,0.6068297436085266,0.32
019_S_4293,ADNI,EUR,EUR,Uncertain,0.5892623099399057,0.3
019_S_4367,ADNI,AFR,EUR,AFR,0.8051694225833531,0.3
019_S_4477,ADNI,AMR,AFR,Uncertain,0.5937634617514861,0.26
020_S_1288,ADNI,EUR,EUR,EUR,1.0,0.32
021_S_0159,ADNI,AFR,AFR,AFR,1.0,0.28
021_S_0276,ADNI,EUR,EUR,EUR,1.0,0.28
021_S_0337,ADNI,EUR,AFR,Uncertain,0.5943355237967933,0.3
021_S_0984,ADNI,AFR,AMR,AFR,0.8043531799444892,0.28
021_S_2100,ADNI,EUR,AFR,Uncertain,0.5927472179965365,0.39
021_S_2124,ADNI,AFR,AFR,AFR,0.8041582888760913,0.31
021_S_2125,ADNI,AFR,EUR,Uncertain,0.6073528398504847,0.31
021_S_2142,ADNI,EUR,EUR,Uncertain,0.5922193690170687,0.29
021_S_2150,ADNI,EUR,EUR,Uncertain,0.5929007899135805,0.28
021_S_4245,ADNI,SAS,SAS,SAS,1.0,0.95
021_S_4254,ADNI,AFR,EUR,Uncertain,0.6059922584113425,0.28
021_S_4276,ADNI,AFR,AFR,Uncertain,0.6072880115754661,0.29
021_S_4335,ADNI,EUR,AFR,Uncertain,0.5911961641970559,0.27
021_S_4402,ADNI,EUR,AFR,Uncertain,0.5910002506872668,0.33
021_S_4419,ADNI,AFR,AFR,Uncertain,0.39930517774553426,0.55
021_S_4421,ADNI,EUR,AFR,Uncertain,0.588006341149018,0.3
022_S_0130,ADNI,EUR,EUR,EUR,1.0,0.33
022_S_1097,ADNI,EUR,EUR,Uncertain,0.5919422726549465,0.27
022_S_1351,ADNI,AFR,AFR,Uncertain,0.6013820035242669,0.47
022_S_2087,ADNI,AFR,AFR,AFR,0.8029053438744003,0.34
022_S_2379,ADNI,AMR,AMR,AMR,1.0,0.52
022_S_4173,ADNI,AFR,EUR,AFR,0.8102169891521168,0.32
022_S_4196,ADNI,AFR,AFR,Uncertain,0.6051700742144862,0.31
022_S_4266,ADNI,EUR,EUR,EUR,1.0,0.32
022_S_4291,ADNI,EUR,AFR,Uncertain,0.591112973030698,0.44
022_S_4320,ADNI,AFR,AFR,Uncertain,0.6080009628419171,0.29
022_S_4444,ADNI,AFR,AFR,AFR,0.8043214728327535,0.3
023_S_0031,ADNI,EUR,AFR,Uncertain,0.5857646534755083,0.26
023_S_0042,ADNI,EUR,AFR,Uncertain,0.5904888045611315,0.47
023_S_0058,ADNI,AFR,AFR,AFR,0.806447628317269,0.33
023_S_0126,ADNI,AFR,AFR,Uncertain,0.6088420849430894,0.27
023_S_0217,ADNI,EUR,EUR,Uncertain,0.5931259315257937,0.3
023_S_0331,ADNI,EUR,EUR,Uncertain,0.588700673011508,0.34
023_S_0625,ADNI,AFR,AFR,Uncertain,0.6110525833255617,0.27
023_S_0887,ADNI,EUR,AFR,Uncertain,0.5847519935391073,0.3
023_S_1046,ADNI,AFR,EUR,Uncertain,0.6104840296068166,0.31
023_S_1190,ADNI,EUR,AFR,Uncertain,0.5931150367242093,0.26
023_S_2068,ADNI,AFR,AFR,Uncertain,0.6059659322184625,0.29
023_S_4020,ADNI,AMR,AFR,AMR,0.7952640940792042,0.3
023_S_4035,ADNI,AFR,AFR,AFR,0.807815205895233,0.29
023_S_4115,ADNI,AFR,EUR,AFR,0.8059113152915234,0.29
023_S_4122,ADNI,EUR,AFR,Uncertain,0.5908771100511134,0.26
023_S_4164,ADNI,AFR,AFR,Uncertain,0.6063992143391127,0.32
023_S_4243,ADNI,EUR,AFR,Uncertain,0.5918345654514026,0.3
023_S_4448,ADNI,AFR,AFR,Uncertain,0.6092868812396819,0.29
023_S_4501,ADNI,AFR,AFR,Uncertain,0.604785634459787,0.26
024_S_0985,ADNI,AFR,AFR,Uncertain,0.6067207816675362,0.31
024_S_1063,ADNI,AFR,AFR,Uncertain,0.5854740831874874,0.34
024_S_2239,ADNI,EUR,EUR,Uncertain,0.5876010899860156,0.28
024_S_4169,ADNI,AMR,AFR,Uncertain,0.4086669508503232,0.5
024_S_4223,ADNI,EUR,AFR,Uncertain,0.5874911872933398,0.32
024_S_4280,ADNI,EUR,AFR,Uncertain,0.5932816879820207,0.3
024_S_4392,ADNI,EUR,AMR,EUR,1.0,0.31
027_S_0074,ADNI,EUR,EUR,Uncertain,0.5872404847465216,0.26
027_S_0118,ADNI,EUR,EUR,Uncertain,0.587676728535974,0.29
027_S_0120,ADNI,EUR,EUR,Uncertain,0.5962547338348365,0.31
027_S_0256,ADNI,AFR,AFR,AFR,0.8036101021315494,0.32
027_S_0644,ADNI,AFR,AFR,Uncertain,0.6053154322350637,0.34
027_S_0835,ADNI,EUR,AFR,Uncertain,0.5925479256700078,0.32
027_S_1045,ADNI,EUR,EUR,Uncertain,0.5855430203443329,0.33
027_S_1387,ADNI,EUR,AMR,EUR,1.0,0.3
027_S_2219,ADNI,AFR,EUR,AFR,0.8054773745451623,0.3
027_S_2245,ADNI,EUR,AFR,Uncertain,0.5878711684221566,0.38
027_S_2336,ADNI,AFR,AFR,Uncertain,0.6052228204990767,0.33
029_S_0824,ADNI,EUR,AFR,Uncertain,0.5869478674581988,0.38
029_S_0843,ADNI,EUR,EUR,Uncertain,0.5988382818127708,0.3
029_S_0845,ADNI,EUR,AFR,Uncertain,0.5906684455443296,0.3
029_S_0878,ADNI,EAS,EAS,EAS,1.0,0.92
029_S_0914,ADNI,AFR,EUR,Uncertain,0.6066271867175647,0.28
029_S_1218,ADNI,AFR,EUR,Uncertain,0.41229837393990965,0.36
029_S_1318,ADNI,EUR,EUR,Uncertain,0.5916786746001395,0.31
029_S_2376,ADNI,AFR,AFR,Uncertain,0.6085922445243939,0.32
029_S_2395,ADNI,AFR,AMR,AFR,0.8042467490348999,0.25
029_S_4279,ADNI,EAS,EAS,EAS,1.0,0.88
029_S_4290,ADNI,EUR,AFR,EUR,1.0,0.26
029_S_4307,ADNI,AFR,AFR,Uncertain,0.6100724006087035,0.26
029_S_4327,ADNI,EUR,AFR,Uncertain,0.5928785892433036,0.29
029_S_4384,ADNI,EUR,AFR,Uncertain,0.593690742790372,0.33
029_S_4385,ADNI,AFR,EUR,Uncertain,0.6081860767543747,0.32
031_S_0294,ADNI,EUR,AFR,Uncertain,0.5881355036763745,0.3
031_S_0830,ADNI,AFR,EUR,Uncertain,0.6089791631297046,0.27
031_S_0867,ADNI,EUR,EUR,Uncertain,0.5912641075128151,0.37
031_S_1066,ADNI,AFR,AFR,Uncertain,0.6081215637319518,0.22
031_S_2018,ADNI,AFR,AFR,Uncertain,0.6073941109244008,0.35
031_S_2233,ADNI,EUR,EUR,Uncertain,0.5999758414975292,0.29
031_S_4005,ADNI,EUR,AMR,Uncertain,0.5896646099376833,0.28
031_S_4021,ADNI,AMR,AFR,Uncertain,0.40785499165850275,0.45
031_S_4024,ADNI,AFR,EUR,Uncertain,0.6071732626449503,0.29
031_S_4029,ADNI,AFR,AFR,Uncertain,0.6101290578884896,0.27
031_S_4032,ADNI,EUR,EUR,EUR,1.0,0.31
031_S_4203,ADNI,EUR,EUR,EUR,1.0,0.31
031_S_4474,ADNI,EUR,AFR,Uncertain,0.5918720330271753,0.3
031_S_4476,ADNI,EAS,EAS,EAS,1.0,0.89
031_S_4496,ADNI,AFR,AFR,Uncertain,0.6081201278155809,0.27
031_S_4590,ADNI,EUR,AFR,Uncertain,0.5878775874451606,0.31
032_S_0479,ADNI,EUR,AFR,Uncertain,0.5845337193757184,0.29
032_S_0677,ADNI,EUR,AFR,Uncertain,0.5921516339600859,0.3
032_S_0978,ADNI,AFR,AFR,AFR,0.8048416590262961,0.34
032_S_1169,ADNI,EUR,AFR,Uncertain,0.5901814047783386,0.37
032_S_2119,ADNI,AFR,AFR,Uncertain,0.6032674655131076,0.28
032_S_2240,ADNI,AFR,AFR,Uncertain,0.6080831508929299,0.3
032_S_2247,ADNI,EUR,EUR,Uncertain,0.5882926735988248,0.31
032_S_4277,ADNI,AFR,AFR,Uncertain,0.3989168047951079,0.55
032_S_4348,ADNI,AFR,AFR,Uncertain,0.608111525913308,0.28
032_S_4386,ADNI,AFR,EUR,Uncertain,0.6061999806961751,0.29
032_S_4429,ADNI,EUR,AFR,Uncertain,0.589992889869477,0.27
033_S_0514,ADNI,EUR,EUR,Uncertain,0.5941524945830272,0.3
033_S_0906,ADNI,EUR,AFR,Uncertain,0.5931420636556859,0.27
033_S_0920,ADNI,AFR,AFR,Uncertain,0.6083001032856458,0.29
033_S_0922,ADNI,EUR,EUR,Uncertain,0.5897503365729685,0.3
033_S_0923,ADNI,EUR,AFR,Uncertain,0.5930694301784319,0.31
033_S_1098,ADNI,AFR,AMR,AFR,0.8065460109331251,0.29
033_S_1116,ADNI,AFR,AFR,Uncertain,0.6058367738638853,0.43
033_S_4176,ADNI,AFR,EUR,Uncertain,0.6056458224875956,0.34
033_S_4177,ADNI,AMR,AMR,Uncertain,0.5925630804293758,0.3
033_S_4179,ADNI,EUR,EUR,Uncertain,0.5905087970781141,0.32
033_S_4505,ADNI,EUR,AFR,Uncertain,0.5893027274469398,0.29
033_S_4508,ADNI,EUR,AFR,EUR,1.0,0.26
035_S_0156,ADNI,AFR,EUR,Uncertain,0.6103284169810106,0.31
035_S_0555,ADNI,AFR,AFR,AFR,0.805039798236753,0.29
035_S_0997,ADNI,EUR,AFR,EUR,1.0,0.25
035_S_2061,ADNI,EUR,EUR,EUR,1.0,0.32
035_S_2074,ADNI,EUR,EUR,EUR,1.0,0.27
035_S_2199,ADNI,EUR,EUR,Uncertain,0.6006651495810299,0.24
035_S_4082,ADNI,AFR,AFR,Uncertain,0.6091436294291058,0.35
035_S_4114,ADNI,EUR,AFR,Uncertain,0.5898391285058626,0.24
035_S_4256,ADNI,EUR,EUR,Uncertain,0.5931238001234937,0.28
035_S_4414,ADNI,AFR,EUR,Uncertain,0.6073416279419074,0.35
035_S_4464,ADNI,AFR,AFR,AFR,0.8046776833567781,0.26
035_S_4582,ADNI,EUR,AFR,Uncertain,0.5899096711431902,0.26
036_S_0672,ADNI,EUR,AMR,Uncertain,0.5922554497096478,0.27
036_S_0673,ADNI,AFR,EUR,Uncertain,0.6080346542236885,0.28
036_S_0945,ADNI,EUR,AFR,Uncertain,0.5922886469048873,0.48
036_S_1023,ADNI,AFR,AFR,Uncertain,0.60884842246874,0.27
036_S_2378,ADNI,AFR,EUR,Uncertain,0.6087858106185954,0.29
036_S_2380,ADNI,EUR,EUR,Uncertain,0.5881847413768084,0.28
036_S_4430,ADNI,AFR,EUR,Uncertain,0.6068607048145782,0.29
036_S_4562,ADNI,EUR,AFR,Uncertain,0.5886326806894713,0.32
037_S_0150,ADNI,EUR,AFR,Uncertain,0.588150067250215,0.25
037_S_0303,ADNI,AFR,EUR,Uncertain,0.6084797466223146,0.32
037_S_0467,ADNI,AFR,AFR,Uncertain,0.6061317736131203,0.35
037_S_0501,ADNI,EUR,AFR,Uncertain,0.5865234344210505,0.27
037_S_0539,ADNI,EAS,EAS,EAS,1.0,0.92
037_S_0566,ADNI,EUR,AFR,Uncertain,0.5895282980278019,0.36
037_S_1078,ADNI,EUR,EUR,Uncertain,0.5945305152354223,0.27
037_S_4001,ADNI,AFR,EUR,Uncertain,0.6090207783961412,0.26
037_S_4015,ADNI,EUR,AFR,Uncertain,0.5903568824710526,0.27
037_S_4028,ADNI,EUR,AFR,Uncertain,0.590454119602779,0.28
037_S_4030,ADNI,EUR,AFR,Uncertain,0.5903551605384356,0.28
037_S_4146,ADNI,AFR,AFR,AFR,0.8045580471275451,0.37
037_S_4214,ADNI,AFR,AFR,Uncertain,0.6067817407795819,0.31
037_S_4302,ADNI,EUR,AFR,Uncertain,0.5917059419922408,0.3
037_S_4308,ADNI,AFR,AFR,Uncertain,0.6102341624503439,0.43
037_S_4381,ADNI,AFR,AFR,Uncertain,0.6076054897181609,0.27
037_S_4410,ADNI,AFR,AFR,AFR,0.8071036083601129,0.32
041_S_0679,ADNI,AFR,EUR,AFR,0.8048520302996174,0.25
041_S_1010,ADNI,EUR,AFR,EUR,1.0,0.3
041_S_1260,ADNI,AFR,EUR,Uncertain,0.6058672772177291,0.32
041_S_1418,ADNI,AMR,AMR,AMR,0.8004788919683198,0.29
041_S_1425,ADNI,EUR,AFR,Uncertain,0.5978570070138671,0.32
041_S_4004,ADNI,EUR,AFR,Uncertain,0.5952958276797593,0.26
041_S_4037,ADNI,AFR,AFR,Uncertain,0.6097149741546773,0.3
041_S_4041,ADNI,EUR,AFR,Uncertain,0.5863163142245285,0.31
041_S_4051,ADNI,EUR,EUR,EUR,1.0,0.26
041_S_4060,ADNI,AFR,AFR,AFR,0.8039358075503541,0.31
041_S_4138,ADNI,EUR,AFR,Uncertain,0.5912638444734423,0.37
041_S_4143,ADNI,EUR,EUR,Uncertain,0.5910920283537735,0.32
041_S_4200,ADNI,EUR,EUR,EUR,1.0,0.27
041_S_4271,ADNI,EUR,EUR,Uncertain,0.5908197154735684,0.31
041_S_4427,ADNI,AMR,AFR,Uncertain,0.6086783121213959,0.41
041_S_4510,ADNI,EUR,AMR,EUR,1.0,0.32
041_S_4513,ADNI,AMR,AMR,AMR,1.0,0.32
051_S_1040,ADNI,EUR,EUR,EUR,1.0,0.3
051_S_1072,ADNI,EUR,AFR,EUR,0.7986856539993374,0.3
051_S_1123,ADNI,EUR,EUR,EUR,1.0,0.29
051_S_1131,ADNI,EUR,AMR,EUR,1.0,0.28
051_S_1331,ADNI,EUR,EUR,EUR,1.0,0.27
052_S_0671,ADNI,AFR,AFR,AFR,0.8039187058649672,0.27
052_S_0951,ADNI,EUR,AFR,EUR,1.0,0.26
052_S_0952,ADNI,EUR,AFR,EUR,1.0,0.27
052_S_0989,ADNI,EUR,AFR,Uncertain,0.5942259161241272,0.31
052_S_1250,ADNI,AMR,AFR,Uncertain,0.4098833646485864,0.46
052_S_1352,ADNI,EUR,EUR,EUR,1.0,0.26
052_S_2249,ADNI,AFR,EUR,AFR,0.8032251531828007,0.28
053_S_0919,ADNI,EUR,AFR,Uncertain,0.5893128576098304,0.27
053_S_2357,ADNI,EUR,AFR,Uncertain,0.5845321522667288,0.24
053_S_4557,ADNI,EUR,AFR,Uncertain,0.5909451584150986,0.3
053_S_4578,ADNI,AFR,AFR,Uncertain,0.6073599235626881,0.37
057_S_0934,ADNI,AFR,AFR,Uncertain,0.6052663599530036,0.31
057_S_1007,ADNI,EUR,EUR,Uncertain,0.5917489843136162,0.25
057_S_1269,ADNI,AFR,AFR,Uncertain,0.6061841286785196,0.32
057_S_2398,ADNI,AFR,AFR,Uncertain,0.6086117882501415,0.32
067_S_0056,ADNI,EUR,AFR,Uncertain,0.5949713823652573,0.44
067_S_0059,ADNI,EUR,AFR,Uncertain,0.5956629194892135,0.44
067_S_0257,ADNI,AMR,EUR,Uncertain,0.6052147246518551,0.26
067_S_2195,ADNI,EUR,EUR,EUR,1.0,0.27
067_S_2196,ADNI,EUR,AFR,Uncertain,0.5881039028914183,0.29
067_S_2301,ADNI,AFR,AFR,Uncertain,0.609660335849778,0.3
067_S_2304,ADNI,EUR,AFR,Uncertain,0.5978527514717983,0.31
067_S_4054,ADNI,EUR,AMR,Uncertain,0.5911950412695081,0.26
067_S_4072,ADNI,AMR,AFR,AMR,0.8011350639663511,0.3
067_S_4184,ADNI,AFR,EUR,Uncertain,0.6088409227367231,0.32
067_S_4212,ADNI,EUR,EUR,Uncertain,0.5888280412520495,0.28
067_S_4310,ADNI,EUR,AFR,EUR,1.0,0.3
068_S_0473,ADNI,EUR,AFR,Uncertain,0.5875477693491785,0.28
068_S_0802,ADNI,AFR,EUR,AFR,0.8069225728060981,0.28
068_S_2168,ADNI,AFR,AMR,AFR,0.8004613581011997,0.33
068_S_2171,ADNI,EUR,AFR,Uncertain,0.5915288193048062,0.28
068_S_2184,ADNI,EUR,AFR,Uncertain,0.5908855458206862,0.24
068_S_2187,ADNI,AFR,AMR,Uncertain,0.6058153148470456,0.24
068_S_2194,ADNI,AFR,AFR,Uncertain,0.6058556096510312,0.27
068_S_2248,ADNI,EUR,AFR,Uncertain,0.597984587239314,0.32
068_S_2315,ADNI,AMR,EUR,AMR,0.8010464675342692,0.29
068_S_4067,ADNI,EUR,AFR,Uncertain,0.5936158893760065,0.32
068_S_4174,ADNI,AFR,AFR,Uncertain,0.6042021525972925,0.37
068_S_4217,ADNI,EUR,AFR,Uncertain,0.5900321087351931,0.27
068_S_4274,ADNI,EUR,AFR,Uncertain,0.5883812497167883,0.28
068_S_4332,ADNI,AFR,EUR,AFR,0.8070926870473942,0.28
068_S_4340,ADNI,EUR,AFR,Uncertain,0.5955460601335348,0.29
068_S_4424,ADNI,EUR,AFR,Uncertain,0.5904671055956147,0.34
068_S_4431,ADNI,AMR,AFR,AMR,0.7988530182276821,0.29
070_S_4692,ADNI,EUR,AFR,Uncertain,0.588244222207744,0.27
072_S_2026,ADNI,EUR,AFR,EUR,1.0,0.26
072_S_2027,ADNI,EUR,AFR,Uncertain,0.5862330499495879,0.3
072_S_2070,ADNI,AMR,AFR,Uncertain,0.4113372023198302,0.44
072_S_2072,ADNI,AFR,AFR,Uncertain,0.609390870101757,0.28
072_S_2083,ADNI,EUR,AFR,EUR,1.0,0.26
072_S_2093,ADNI,AFR,AFR,AFR,0.8046245807493445,0.31
072_S_2116,ADNI,AFR,AFR,Uncertain,0.6114327270877943,0.29
072_S_2164,ADNI,EUR,AMR,EUR,1.0,0.28
072_S_4007,ADNI,EUR,AFR,EUR,1.0,0.26
072_S_4102,ADNI,EUR,EUR,EUR,1.0,0.3
072_S_4103,ADNI,EUR,EUR,EUR,1.0,0.27
072_S_4131,ADNI,EUR,AMR,Uncertain,0.5916671872701205,0.25
072_S_4206,ADNI,AFR,AFR,AFR,0.8043214091917266,0.43
072_S_4226,ADNI,EUR,EUR,EUR,1.0,0.27
072_S_4383,ADNI,EUR,EUR,Uncertain,0.5874958108814795,0.38
072_S_4390,ADNI,EUR,AMR,EUR,1.0,0.3
072_S_4391,ADNI,AFR,AFR,AFR,0.8037660741160809,0.28
072_S_4394,ADNI,AFR,AFR,AFR,0.8031274935263693,0.31
072_S_4445,ADNI,EUR,AFR,Uncertain,0.5909651530670057,0.25
072_S_4462,ADNI,EUR,AFR,Uncertain,0.594424807572133,0.3
072_S_4465,ADNI,EUR,AFR,EUR,1.0,0.31
072_S_4522,ADNI,AFR,AFR,Uncertain,0.6069830521387366,0.29
072_S_4539,ADNI,AFR,AFR,Uncertain,0.6067941392667336,0.37
072_S_4613,ADNI,EUR,EUR,EUR,1.0,0.33
073_S_0089,ADNI,EUR,EUR,EUR,1.0,0.3
073_S_0311,ADNI,EUR,AFR,Uncertain,0.5891446633026227,0.28
073_S_0746,ADNI,EUR,EUR,EUR,1.0,0.28
073_S_2153,ADNI,EUR,EUR,EUR,1.0,0.28
073_S_2182,ADNI,EUR,EUR,Uncertain,0.5887606645903618,0.33
073_S_2190,ADNI,EUR,AFR,Uncertain,0.5876369153069649,0.26
073_S_2191,ADNI,EUR,AFR,Uncertain,0.5879906251712996,0.27
073_S_2225,ADNI,AMR,EUR,Uncertain,0.5993990778965759,0.32
073_S_2264,ADNI,AFR,AFR,Uncertain,0.606270797640209,0.29
073_S_4155,ADNI,AFR,EUR,Uncertain,0.6044452455385724,0.28
073_S_4216,ADNI,EUR,EUR,Uncertain,0.5881753246402508,0.32
073_S_4259,ADNI,AFR,AMR,Uncertain,0.6074189467913987,0.27
073_S_4300,ADNI,AFR,AFR,Uncertain,0.6063112785178965,0.27
073_S_4311,ADNI,EUR,EUR,Uncertain,0.5888349439968072,0.34
073_S_4312,ADNI,EUR,AFR,Uncertain,0.593329231183789,0.27
073_S_4360,ADNI,EUR,AFR,Uncertain,0.5942718380570402,0.32
073_S_4382,ADNI,AFR,EUR,Uncertain,0.606494624484185,0.29
073_S_4393,ADNI,EUR,EUR,Uncertain,0.5926517055555116,0.29
073_S_4403,ADNI,EAS,EAS,EAS,1.0,0.9
073_S_4443,ADNI,AFR,AFR,Uncertain,0.6075533309804174,0.3
073_S_4540,ADNI,AFR,EUR,AFR,0.8031695813470309,0.3
073_S_4552,ADNI,EUR,AFR,Uncertain,0.5928736158196991,0.32
073_S_4559,ADNI,AFR,AFR,Uncertain,0.605858886684342,0.28
082_S_1256,ADNI,EUR,EUR,EUR,1.0,0.31
082_S_2121,ADNI,AFR,EUR,Uncertain,0.6083382514461111,0.32
082_S_2307,ADNI,EUR,AFR,Uncertain,0.5869863414475002,0.26
082_S_4090,ADNI,AMR,AMR,Uncertain,0.6068817169798033,0.26
082_S_4208,ADNI,AFR,EUR,Uncertain,0.6089866508519899,0.36
082_S_4224,ADNI,EUR,AFR,EUR,1.0,0.25
082_S_4244,ADNI,EUR,AMR,EUR,1.0,0.31
082_S_4339,ADNI,EUR,EUR,Uncertain,0.5884392092573523,0.29
082_S_4428,ADNI,EUR,EUR,EUR,1.0,0.33
094_S_2201,ADNI,EUR,EUR,Uncertain,0.5875353687577228,0.32
094_S_2216,ADNI,AFR,EUR,Uncertain,0.6077661429895538,0.35
094_S_2238,ADNI,EUR,AFR,EUR,1.0,0.27
094_S_2367,ADNI,EUR,EUR,EUR,1.0,0.33
094_S_4089,ADNI,AFR,AFR,AFR,0.8032000148858652,0.3
094_S_4234,ADNI,AFR,AFR,AFR,0.8065043230594039,0.29
094_S_4282,ADNI,EUR,AFR,Uncertain,0.5851943282538447,0.28
094_S_4434,ADNI,EUR,AMR,EUR,1.0,0.26
094_S_4503,ADNI,EUR,EUR,EUR,1.0,0.28
098_S_0160,ADNI,AFR,AFR,Uncertain,0.6066766048864103,0.4
098_S_0172,ADNI,AFR,AMR,AFR,0.804421797427182,0.31
098_S_0269,ADNI,AFR,AFR,Uncertain,0.6089553322754984,0.33
098_S_0667,ADNI,EUR,AFR,EUR,1.0,0.27
098_S_2047,ADNI,EUR,EUR,Uncertain,0.5881726299293346,0.25
098_S_2052,ADNI,EUR,AMR,Uncertain,0.5923158077331221,0.29
098_S_2079,ADNI,EUR,EUR,Uncertain,0.589222844845465,0.28
098_S_4003,ADNI,EUR,EUR,Uncertain,0.5879809653601756,0.34
098_S_4050,ADNI,EUR,AFR,Uncertain,0.5883053366737114,0.29
098_S_4095,ADNI,AFR,AFR,Uncertain,0.6028909855683073,0.29
098_S_4201,ADNI,EUR,AFR,Uncertain,0.59783649339647,0.32
098_S_4215,ADNI,AFR,AFR,Uncertain,0.6068315327141314,0.36
098_S_4506,ADNI,AMR,AFR,Uncertain,0.5930193442140662,0.3
099_S_0051,ADNI,AFR,AMR,Uncertain,0.605488034903998,0.26
099_S_0291,ADNI,AFR,AFR,Uncertain,0.607044878766002,0.36
099_S_0352,ADNI,EUR,AMR,Uncertain,0.5864787653916188,0.28
099_S_2042,ADNI,AFR,AFR,Uncertain,0.6067567982322136,0.29
099_S_2063,ADNI,AMR,EUR,AMR,0.7988117585841771,0.27
099_S_2146,ADNI,EUR,AMR,Uncertain,0.589762219330343,0.3
099_S_2205,ADNI,EUR,EUR,Uncertain,0.5922657938576283,0.26
099_S_4022,ADNI,EUR,AFR,EUR,1.0,0.29
099_S_4086,ADNI,AFR,AFR,Uncertain,0.6110050265539182,0.29
099_S_4104,ADNI,EUR,EUR,Uncertain,0.5881341988987373,0.36
099_S_4202,ADNI,EUR,AFR,Uncertain,0.5900505398757744,0.26
099_S_4205,ADNI,AFR,AFR,Uncertain,0.607902865470242,0.36
099_S_4463,ADNI,AFR,AFR,Uncertain,0.4152398581749474,0.32
099_S_4475,ADNI,EUR,EUR,Uncertain,0.5894282853857293,0.38
099_S_4480,ADNI,AFR,AFR,Uncertain,0.6087768795966696,0.28
099_S_4498,ADNI,AFR,EUR,Uncertain,0.6086673873537347,0.31
099_S_4565,ADNI,EUR,EUR,Uncertain,0.5867265466033407,0.31
100_S_0035,ADNI,AFR,EUR,Uncertain,0.6065651820169587,0.28
100_S_0047,ADNI,EUR,AFR,Uncertain,0.5901106397931463,0.37
100_S_0069,ADNI,AFR,AFR,Uncertain,0.6054709616158376,0.3
100_S_4469,ADNI,AFR,EUR,Uncertain,0.606810475415118,0.3
109_S_2200,ADNI,AFR,AFR,Uncertain,0.40440969692037526,0.5
109_S_2237,ADNI,AFR,AFR,Uncertain,0.39590666194523116,0.46
109_S_2278,ADNI,AMR,AFR,Uncertain,0.4158596800278783,0.43
109_S_4260,ADNI,AMR,AFR,Uncertain,0.4057879142184163,0.47
109_S_4455,ADNI,EUR,AFR,EUR,1.0,0.26
109_S_4499,ADNI,EUR,EUR,EUR,1.0,0.27
114_S_0166,ADNI,AFR,EUR,Uncertain,0.6103947264429265,0.37
114_S_0173,ADNI,AFR,EUR,Uncertain,0.6082633572492757,0.32
114_S_0378,ADNI,EUR,EUR,Uncertain,0.5927301300698546,0.28
114_S_0416,ADNI,EUR,EUR,EUR,1.0,0.27
114_S_1106,ADNI,EUR,EUR,Uncertain,0.5928417767293621,0.29
114_S_4404,ADNI,AFR,EUR,Uncertain,0.609483784788175,0.32
116_S_0361,ADNI,AFR,AFR,Uncertain,0.6074969803911326,0.3
116_S_0382,ADNI,EUR,AMR,Uncertain,0.5890535232147566,0.27
116_S_0649,ADNI,EUR,EUR,EUR,1.0,0.27
116_S_0657,ADNI,AFR,AFR,Uncertain,0.6079016917431225,0.32
116_S_0752,ADNI,EUR,AFR,Uncertain,0.5884995944933403,0.38
116_S_0834,ADNI,AFR,EUR,Uncertain,0.60737610439324,0.3
116_S_1232,ADNI,AMR,AMR,AMR,1.0,0.28
