IID,sample_type,KNN_prediction,RandomForest_prediction,consensus_prediction,KNN_confidence,RandomForest_confidence
GTEX-WHWD,GTEx,EUR,EUR,EUR,1.0,0.46
GTEX-WI4N,GTEx,EUR,EUR,EUR,1.0,0.41
GTEX-WK11,GTEx,EUR,EUR,EUR,1.0,0.36
GTEX-WL46,GTEx,EUR,EUR,EUR,1.0,0.3
GTEX-WOFL,GTEx,EUR,EUR,EUR,1.0,0.38
GTEX-WOFM,GTEx,EUR,EUR,EUR,1.0,0.36
GTEX-WQUQ,GTEx,EUR,EUR,EUR,1.0,0.31
GTEX-WRHK,GTEx,EUR,EUR,EUR,1.0,0.31
GTEX-WRHU,GTEx,EUR,EUR,EUR,1.0,0.37
GTEX-WVJS,GTEx,EUR,EUR,Uncertain,0.6055812198511517,0.35
GTEX-WVLH,GTEx,EUR,EUR,EUR,1.0,0.35
GTEX-WWTW,GTEx,EUR,AFR,EUR,1.0,0.33
GTEX-WWYW,GTEx,EUR,AFR,EUR,1.0,0.33
GTEX-WXYG,GTEx,AFR,AFR,AFR,1.0,0.76
GTEX-WY7C,GTEx,EUR,EUR,EUR,1.0,0.39
GTEX-WYBS,GTEx,EUR,EUR,EUR,1.0,0.34
GTEX-WYJK,GTEx,EUR,AFR,EUR,1.0,0.34
GTEX-WYVS,GTEx,EUR,EUR,EUR,1.0,0.35
GTEX-WZTO,GTEx,EUR,EUR,EUR,1.0,0.39
GTEX-X15G,GTEx,EUR,EUR,EUR,1.0,0.45
GTEX-X261,GTEx,EUR,EUR,EUR,1.0,0.43
GTEX-X3Y1,GTEx,AFR,AFR,AFR,1.0,0.75
GTEX-X4EO,GTEx,EUR,AFR,EUR,1.0,0.34
GTEX-X4EP,GTEx,EUR,EUR,EUR,1.0,0.41
GTEX-X4LF,GTEx,EUR,EUR,EUR,1.0,0.33
GTEX-X4XX,GTEx,EUR,EUR,EUR,1.0,0.39
GTEX-X4XY,GTEx,EUR,EUR,EUR,1.0,0.32
GTEX-X585,GTEx,AFR,AFR,AFR,1.0,0.79
GTEX-X5EB,GTEx,EUR,EUR,EUR,1.0,0.38
GTEX-X62O,GTEx,EUR,EUR,EUR,1.0,0.34
GTEX-X638,GTEx,AFR,AFR,AFR,1.0,0.8
GTEX-X88G,GTEx,AFR,AFR,AFR,1.0,0.84
GTEX-X8HC,GTEx,EUR,EUR,EUR,1.0,0.35
GTEX-XAJ8,GTEx,EUR,AFR,EUR,1.0,0.29
GTEX-XBEC,GTEx,EUR,EUR,EUR,1.0,0.41
GTEX-XBED,GTEx,EUR,EUR,EUR,1.0,0.37
GTEX-XBEW,GTEx,EUR,EUR,EUR,1.0,0.34
GTEX-XGQ4,GTEx,EUR,EUR,EUR,1.0,0.38
GTEX-XK95,GTEx,EUR,EUR,EUR,1.0,0.45
GTEX-XLM4,GTEx,EUR,AFR,EUR,1.0,0.36
GTEX-XMD1,GTEx,EUR,AFR,EUR,1.0,0.33
GTEX-XMD2,GTEx,EUR,EUR,EUR,1.0,0.41
GTEX-XMD3,GTEx,AMR,AMR,AMR,1.0,0.7
GTEX-XMK1,GTEx,EUR,AFR,EUR,1.0,0.34
GTEX-XOT4,GTEx,EUR,EUR,EUR,1.0,0.34
GTEX-XPT6,GTEx,EUR,EUR,EUR,1.0,0.37
GTEX-XPVG,GTEx,EUR,EUR,EUR,1.0,0.43
GTEX-XQ3S,GTEx,EUR,EUR,EUR,1.0,0.36
GTEX-XQ8I,GTEx,EUR,EUR,EUR,1.0,0.43
GTEX-XUW1,GTEx,EUR,EUR,EUR,1.0,0.38
GTEX-XUYS,GTEx,AFR,AFR,AFR,1.0,0.83
