IID,sample_type,final_ancestry,ensemble_confidence,knn_prediction,knn_confidence,rf_prediction,rf_confidence,ensemble_agreement,PC1,PC2,PC3,PC4,PC5
098_S_4003,ADNI,EUR,0.6352847214547379,EUR,0.8470462952729838,AFR,0.47653246753246753,False,-0.00880941,-0.0140266,0.000592455,-0.00645675,-0.000123891
098_S_4050,ADNI,EUR,0.6333402486736912,EUR,0.844453664898255,AFR,0.46819913419913417,False,-0.00853425,-0.0144319,-0.000434535,-0.00706867,-0.00219271
098_S_4095,ADNI,EUR,0.636711803975089,EUR,0.8489490719667854,AFR,0.43493722943722934,False,-0.00914811,-0.0137895,-0.00136718,-0.011436,0.0135327
098_S_4201,ADNI,EUR,0.6390007745514086,EUR,0.8520010327352114,AFR,0.3892962037962037,False,-0.00907714,-0.0131886,-0.00115799,-0.012362,0.0153993
098_S_4215,ADNI,EUR,0.6361613205730676,EUR,0.8482150940974235,AFR,0.4956515151515151,False,-0.00892393,-0.0131418,-0.0013913,-0.00882432,0.0119582
098_S_4506,ADNI,AMR,0.5309877051212115,AMR,0.707983606828282,AFR,0.44066666666666665,False,-0.0081898,-0.0134954,0.00199256,-0.00563862,-0.0155238
099_S_0051,ADNI,EUR,0.634518673922347,EUR,0.8460248985631292,AFR,0.45549278499278495,False,-0.00860788,-0.0141398,-0.00115125,-0.0100692,0.00922602
099_S_0291,ADNI,EUR,0.5288300245188241,EUR,0.7051066993584322,AFR,0.44899278499278494,False,-0.00874042,-0.0125483,-0.00054335,-0.0110557,0.0106266
099_S_0352,ADNI,EUR,0.6337941875364747,EUR,0.8450589167152995,AFR,0.4755324675324675,False,-0.00915559,-0.0128853,-0.000200745,-0.00954751,0.0016304
099_S_2042,ADNI,EUR,0.6348441373075268,EUR,0.846458849743369,AFR,0.49605017205017193,False,-0.00870793,-0.0123562,4.11105e-05,-0.00856899,0.00947785
099_S_2063,ADNI,AMR,0.6407655312627635,AMR,0.8543540416836847,AFR,0.4362222222222222,False,-0.00788679,-0.0124392,0.00275724,-0.00144535,-0.0241407
099_S_2146,ADNI,EUR,0.6350054844420707,EUR,0.8466739792560943,AFR,0.4715324675324675,False,-0.00897075,-0.0140905,-0.000936279,-0.00821268,-0.000215815
099_S_2205,ADNI,EUR,0.6357039225732652,EUR,0.847605230097687,AFR,0.4755324675324675,False,-0.00861935,-0.0149112,-1.79179e-05,-0.0110165,0.000969688
099_S_4022,ADNI,EUR,0.75,EUR,1.0,AFR,0.3515555555555555,False,-0.00565361,-0.00838657,0.00686211,0.00781936,-0.0975816
099_S_4086,ADNI,EUR,0.6334971546974184,EUR,0.8446628729298912,AFR,0.46858802308802305,False,-0.00870927,-0.0129305,-0.00155435,-0.00957126,0.00724809
099_S_4104,ADNI,EUR,0.6341656022674866,EUR,0.8455541363566488,AFR,0.4721991341991342,False,-0.00868057,-0.0128681,0.00167165,-0.0106711,0.000721967
099_S_4202,ADNI,EUR,0.6348862651446815,EUR,0.8465150201929087,AFR,0.4805324675324675,False,-0.00897186,-0.0130956,-0.000610073,-0.0108345,0.00448972
099_S_4205,ADNI,EUR,0.6338593376068634,EUR,0.8451457834758179,AFR,0.4755324675324675,False,-0.00853967,-0.0134539,0.000250133,-0.00680281,0.00783621
099_S_4463,ADNI,EUR,0.422490768481451,EUR,0.5633210246419347,AFR,0.4715324675324675,False,-0.00862858,-0.0128124,-0.00038236,-0.00912955,-0.00488452
099_S_4475,ADNI,EUR,0.6355948321240789,EUR,0.8474597761654384,AFR,0.4755324675324675,False,-0.00896933,-0.0141394,0.000283132,-0.00997434,0.00529251
099_S_4480,ADNI,EUR,0.6330430052596122,EUR,0.8440573403461497,AFR,0.4715324675324675,False,-0.00822328,-0.0137129,-0.000679379,-0.00932351,-0.000692127
099_S_4498,ADNI,EUR,0.6347504113077311,EUR,0.8463338817436415,AFR,0.4805324675324675,False,-0.00863016,-0.0135663,-0.000121932,-0.00871717,0.00472845
